"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"APPL1","Q9UKG1","","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1(APPL1)","Homo sapiens"
"ARAF","P10398","","A-Raf proto-oncogene, serine/threonine kinase(ARAF)","Homo sapiens"
"ARAP2","Q8WZ64","","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2(ARAP2)","Homo sapiens"
"ARF6","P62330","","ARF GTPase 6(ARF6)","Homo sapiens"
"ARFGEF1","Q9Y6D6","","ARF guanine nucleotide exchange factor 1(ARFGEF1)","Homo sapiens"
"ARFGEF2","Q9Y6D5","","ARF guanine nucleotide exchange factor 2(ARFGEF2)","Homo sapiens"
"ARFIP2","P53365","","ARF interacting protein 2(ARFIP2)","Homo sapiens"
"ARHGAP10","A1A4S6","","Rho GTPase activating protein 10(ARHGAP10)","Homo sapiens"
"ARHGAP21","A1A4S6","","Rho GTPase activating protein 21(ARHGAP21)","Homo sapiens"
"ARHGAP32","A7KAX9","","Rho GTPase activating protein 32(ARHGAP32)","Homo sapiens"
"ARHGAP8","P85298","","Rho GTPase activating protein 8(ARHGAP8)","Homo sapiens"
"ARHGEF10L","Q9HCE6","","Rho guanine nucleotide exchange factor 10 like(ARHGEF10L)","Homo sapiens"
"ARHGEF12","Q9NZN5","","Rho guanine nucleotide exchange factor 12(ARHGEF12)","Homo sapiens"
"ARHGEF16","Q5VV41","","Rho guanine nucleotide exchange factor 16(ARHGEF16)","Homo sapiens"
"ARHGEF37","A1IGU5","","Rho guanine nucleotide exchange factor 37(ARHGEF37)","Homo sapiens"
"ARHGEF39","Q8N4T4","","Rho guanine nucleotide exchange factor 39(ARHGEF39)","Homo sapiens"
"ARHGEF40","Q8TER5","","Rho guanine nucleotide exchange factor 40(ARHGEF40)","Homo sapiens"
"ARHGEF5","Q12774","","Rho guanine nucleotide exchange factor 5(ARHGEF5)","Homo sapiens"
"ARID1A","O14497","","AT-rich interaction domain 1A(ARID1A)","Homo sapiens"
"ARID1B","Q8NFD5","","AT-rich interaction domain 1B(ARID1B)","Homo sapiens"
"ARL6IP5","O75915","","ARF like GTPase 6 interacting protein 5(ARL6IP5)","Homo sapiens"
"ARMC10","Q8N2F6","","armadillo repeat containing 10(ARMC10)","Homo sapiens"
"ARMCX3","Q9UH62","","armadillo repeat containing X-linked 3(ARMCX3)","Homo sapiens"
"ARMH3","Q5T2E6","","armadillo like helical domain containing 3(ARMH3)","Homo sapiens"
"ARSD","P51689","","arylsulfatase D(ARSD)","Homo sapiens"
"ASAP3","Q8TDY4","","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3(ASAP3)","Homo sapiens"
"ASL","P04424","","argininosuccinate lyase(ASL)","Homo sapiens"
"ASPSCR1","Q9BZE9","","ASPSCR1 tether for SLC2A4, UBX domain containing(ASPSCR1)","Homo sapiens"
"ATAD1","Q8NBU5","","ATPase family AAA domain containing 1(ATAD1)","Homo sapiens"
"ATF2","P15336","","activating transcription factor 2(ATF2)","Homo sapiens"
"ATF3","P18847","","activating transcription factor 3(ATF3)","Homo sapiens"
"ATF7","P17544","","activating transcription factor 7(ATF7)","Homo sapiens"
