"","Jurkat","KMBC2","MCF7","231"
"O14681",0.244,-2.72,-0.951,-2.83
"O14682",0.0884,-0.643,-0.145,-3.51
"O14683",0.0884,-0.643,-0.145,-0.35
"O14684",0.0178,-1.95,0.755,-0.738
"O14686",-5.18,-7.38,-5.29,-7.1
"O14727",0.0884,-1.39,-0.145,-1.04
"O14733",-4.29,-4.74,-1.52,-4.47
"O14734",-1.44,-1.9,-0.933,-1.46
"O14735",0.0884,-0.953,-1.46,-0.35
"O14737",-3.84,-4.25,-1.11,-2.41
"O14744",-0.398,-1.46,-0.725,-1.36
"O14745",-3.1,-2.93,-0.577,-0.631
"O14757",-4.2,-5.17,-2.22,-5.01
"O14770",0.0884,-6.39,-5.34,-5.24
"O14773",0.927,-1.97,-0.145,0.455
"O14776",-1.68,-1.53,-0.591,-1.55
"O14777",-5.28,-3.61,-0.389,-2.68
"O14786",0.0884,-0.643,-0.799,-1.87
"O14787",-3.5,-3.39,-1.14,-2.46
"O14787;Q92973",-3.04,-3.16,-1.12,-2.64
"O14795",0.0884,-0.643,-1.87,-0.35
"O14802",-1.64,-1.02,0.251,-2.29
"O14818",-1.6,-1.34,-0.423,-1.31
"O14828",0.0884,-2.81,-0.197,-4
"O14841",0.0884,-1.71,-0.145,-0.35
"O14867",0.0884,-2.84,-0.145,-3.18
"O14874",0.0884,-0.643,-2.15,-0.35
"O14879",0.0884,-0.643,-0.145,-1.22
"O14880",-1.45,-1.67,-1.95,-0.272
"O14896",0.017,-4.04,-2.87,-0.35
"O14907",-0.749,-6.83,-1.19,-3.92
"O14908",-2.35,-2.1,-0.732,-1.48
"O14910;Q9NUP9",-2.61,-1.79,0.707,-0.978
"O14920",-4.71,-4.18,-1.41,-3.77
"O14924",0.0884,-4.02,-0.145,-1.34
"O14925;Q5SRD1",0.0884,-0.643,1.49,-0.35
"O14929",-2.87,-4.03,-1.49,-3.04
"O14933",-1.96,-2.27,-0.118,-1.98
"O14936",-0.681,-1.92,-2.02,-1.27
"O14939",0.0884,-2.67,0.819,-1.89
"O14949",0.0884,-1.89,-0.145,-0.35
"O14950;P19105",-0.454,-0.902,0.592,0.325
"O14950;P19105;P24844",-0.806,-2.13,0.174,-0.722
"O14964",-3.07,-1.87,-0.168,-1.04
"O14965",-5.09,-5.09,-2.83,-4.15
"O14966",0.0884,-0.643,0.782,-0.35
"O14967",-1.32,-0.643,-0.145,-0.35
"O14972",-2.59,-1.48,-3.09,-3.06
"O14974",-2.38,-1.37,-0.335,-0.629
"O14975",-0.422,-3.96,-0.145,-0.35
"O14976",-4.14,-3.43,-0.785,-1.95
"O14979",-1.54,-0.552,-1.05,-1.67
"O14980",-2.38,-2.95,-1.16,-2.58
"O14981",-2.75,-2.31,-2.69,-3.64
"O14983",0.0884,-0.643,-0.145,-0.35
"O15013",0.0884,-0.643,-0.145,-1.92
"O15013;Q9HCE6",0.285,-0.964,-0.000616,-1.26
"O15014",-1.55,-5.44,-3.28,-3.42
"O15015",-0.594,-3.64,-1.47,-1.83
"O15018",0.0884,-0.643,-0.145,-0.35
"O15020",0.0499,-2.03,-0.759,1.77
